joint_regime,n,mean,sd,annualized_mean,annualized_sd
Moderate + Rising,32,0.010686804481414272,0.03765096936446808,0.12824165377697128,0.130426783786956
High + Rising,22,-0.00333887437790847,0.05483458938012993,-0.04006649253490164,0.18995258963712364
Moderate + Falling,18,0.00896762493095771,0.03854758317492115,0.10761149917149253,0.13353274513590127
Low + Falling,13,0.02090242805885672,0.06546926739244231,0.2508291367062806,0.22679219491604494
High + Stable,12,0.01192285443795765,0.040012836558096836,0.14307425325549178,0.13860853174714624
Low + Stable,11,0.006639726111462288,0.030508915359808517,0.07967671333754744,0.10568598297401373
Moderate + Stable,5,0.018244684924082762,0.0234230358321112,0.21893621908899313,0.08113977625744591
Low + Rising,4,0.044124587475665646,0.033033227654127355,0.5294950497079878,0.1144304572698757
High + Falling,0,NA,NA,NA,NA
